archivo,relacion_fundamental_harmonicos
_D6_025_fortissimo_arco-normal.mp3,0.35682628
_Gs5_025_fortissimo_arco-normal.mp3,0.355798
_As4_15_fortissimo_arco-normal.mp3,0.42207044
_As5_15_fortissimo_arco-normal.mp3,0.39182788
_Gs4_025_fortissimo_arco-normal.mp3,0.3900027
_Cs5_1_fortissimo_arco-normal.mp3,0.36933962
_Ds7_15_fortissimo_arco-normal.mp3,0.35167423
_Fs5_025_fortissimo_arco-normal.mp3,0.371615
_Cs4_025_fortissimo_arco-normal.mp3,0.37480724
_C4_025_fortissimo_arco-normal.mp3,0.336631
_Ds7_025_fortissimo_arco-normal.mp3,0.3423979
_G3_025_fortissimo_arco-normal.mp3,0.35761356
_B3_05_fortissimo_arco-normal.mp3,0.37028682
_F4_1_fortissimo_arco-normal.mp3,0.3550735
_F5_05_fortissimo_arco-normal.mp3,0.3512904
_E4_05_fortissimo_arco-normal.mp3,0.37447155
_C6_025_fortissimo_arco-normal.mp3,0.338418
_Ds5_15_fortissimo_arco-normal.mp3,0.37326494
_Ds4_05_fortissimo_arco-normal.mp3,0.38215235
_C4_15_fortissimo_arco-normal.mp3,0.3229817
_As5_05_fortissimo_arco-normal.mp3,0.35774645
_B3_15_fortissimo_arco-normal.mp3,0.36849174
_As3_05_fortissimo_arco-normal.mp3,0.40482312
_A4_15_fortissimo_arco-normal.mp3,0.3283249
_Ds6_05_fortissimo_arco-normal.mp3,0.35662255
_G3_15_fortissimo_arco-normal.mp3,0.35242867
_A5_15_fortissimo_arco-normal.mp3,0.38364404
_A4_025_fortissimo_arco-normal.mp3,0.2851403
_E6_1_fortissimo_arco-normal.mp3,0.37198693
_Ds4_1_fortissimo_arco-normal.mp3,0.37918958
_C7_05_fortissimo_arco-normal.mp3,0.34301528
_A6_1_fortissimo_arco-normal.mp3,0.35070574
_G5_15_fortissimo_arco-normal.mp3,0.38713497
_B6_05_fortissimo_arco-normal.mp3,0.33266398
_As3_1_fortissimo_arco-normal.mp3,0.40922093
_B6_025_fortissimo_arco-normal.mp3,0.3460583
_A6_05_fortissimo_arco-normal.mp3,0.32631016
_Gs6_025_fortissimo_arco-normal.mp3,0.335691
_Fs6_05_fortissimo_arco-normal.mp3,0.34933928
_C6_05_fortissimo_arco-normal.mp3,0.3385495
_C4_05_fortissimo_arco-normal.mp3,0.33186096
_Cs5_025_fortissimo_arco-normal.mp3,0.37103537
_Fs5_05_fortissimo_arco-normal.mp3,0.37033954
_G7_15_fortissimo_arco-normal.mp3,0.3643327
_Fs7_025_fortissimo_arco-normal.mp3,0.35547382
_D7_05_fortissimo_arco-normal.mp3,0.36042148
_C6_1_fortissimo_arco-normal.mp3,0.34618744
_Fs7_05_fortissimo_arco-normal.mp3,0.34032133
_F7_15_fortissimo_arco-normal.mp3,0.3664327
_As6_05_fortissimo_arco-normal.mp3,0.3498103
_G4_05_fortissimo_arco-normal.mp3,0.30520082
_F4_05_fortissimo_arco-normal.mp3,0.36491632
_Ds4_025_fortissimo_arco-normal.mp3,0.37449697
_C4_1_fortissimo_arco-normal.mp3,0.30495378
_Gs3_15_fortissimo_arco-normal.mp3,0.4013049
_G7_05_fortissimo_arco-normal.mp3,0.34761143
_Cs7_05_fortissimo_arco-normal.mp3,0.34230557
_F6_025_fortissimo_arco-normal.mp3,0.35830155
_E7_1_fortissimo_arco-normal.mp3,0.35703167
_E6_05_fortissimo_arco-normal.mp3,0.3797178
_D4_1_fortissimo_arco-normal.mp3,0.33104455
_G5_025_fortissimo_arco-normal.mp3,0.37226087
_F6_05_fortissimo_arco-normal.mp3,0.36881477
_Fs5_1_fortissimo_arco-normal.mp3,0.3663607
_D7_1_fortissimo_arco-normal.mp3,0.36852652
_C5_1_fortissimo_arco-normal.mp3,0.31574202
_A5_1_fortissimo_arco-normal.mp3,0.37588736
_C5_025_fortissimo_arco-normal.mp3,0.31786436
_D5_05_fortissimo_arco-normal.mp3,0.32949468
_Gs5_15_fortissimo_arco-normal.mp3,0.35558084
_G3_05_fortissimo_arco-normal.mp3,0.36559358
_G5_05_fortissimo_arco-normal.mp3,0.3477467
_A3_15_fortissimo_arco-normal.mp3,0.3326183
_G5_1_fortissimo_arco-normal.mp3,0.3889084
_G6_025_fortissimo_arco-normal.mp3,0.3547659
_E4_15_fortissimo_arco-normal.mp3,0.35557786
_As3_025_fortissimo_arco-normal.mp3,0.42126143
_As6_1_fortissimo_arco-normal.mp3,0.36145312
_B4_15_fortissimo_arco-normal.mp3,0.41036347
_A3_025_fortissimo_arco-normal.mp3,0.32766262
_Gs3_025_fortissimo_arco-normal.mp3,0.3861003
_D6_15_fortissimo_arco-normal.mp3,0.3560296
_E7_025_fortissimo_arco-normal.mp3,0.34797934
_As5_025_fortissimo_arco-normal.mp3,0.39806518
_Gs6_05_fortissimo_arco-normal.mp3,0.33868125
_F7_1_fortissimo_arco-normal.mp3,0.36080322
_A5_025_fortissimo_arco-normal.mp3,0.36409715
_Fs4_15_fortissimo_arco-normal.mp3,0.38237053
_E4_1_fortissimo_arco-normal.mp3,0.38016003
_Gs5_1_fortissimo_arco-normal.mp3,0.35115346
_D4_05_fortissimo_arco-normal.mp3,0.3300096
_Gs4_1_fortissimo_arco-normal.mp3,0.39430696
_E5_1_fortissimo_arco-normal.mp3,0.38030994
_E6_025_fortissimo_arco-normal.mp3,0.35484207
_F6_1_fortissimo_arco-normal.mp3,0.359861
_Fs7_15_fortissimo_arco-normal.mp3,0.3484293
_B3_1_fortissimo_arco-normal.mp3,0.36959955
_Cs4_05_fortissimo_arco-normal.mp3,0.38240716
_C7_025_fortissimo_arco-normal.mp3,0.3342008
_E7_15_fortissimo_arco-normal.mp3,0.35764465
_F5_1_fortissimo_arco-normal.mp3,0.36210838
_B4_1_fortissimo_arco-normal.mp3,0.42258266
_D7_025_fortissimo_arco-normal.mp3,0.35667294
_Gs3_05_fortissimo_arco-normal.mp3,0.38561445
_G3_1_fortissimo_arco-normal.mp3,0.34923634
_Fs4_1_fortissimo_arco-normal.mp3,0.38340583
_B6_1_fortissimo_arco-normal.mp3,0.34897837
_A4_1_fortissimo_arco-normal.mp3,0.35407966
_F4_15_fortissimo_arco-normal.mp3,0.35328266
_A6_025_fortissimo_arco-normal.mp3,0.31728113
_Cs5_15_fortissimo_arco-normal.mp3,0.37337503
_Gs6_1_fortissimo_arco-normal.mp3,0.3569744
_Ds5_1_fortissimo_arco-normal.mp3,0.37021315
_Fs6_1_fortissimo_arco-normal.mp3,0.35688433
_Gs4_05_fortissimo_arco-normal.mp3,0.38617927
_Ds5_05_fortissimo_arco-normal.mp3,0.3716352
_Gs3_1_fortissimo_arco-normal.mp3,0.39763886
_G6_05_fortissimo_arco-normal.mp3,0.3637089
_D5_025_fortissimo_arco-normal.mp3,0.31689128
_B4_025_fortissimo_arco-normal.mp3,0.3807782
_A5_05_fortissimo_arco-normal.mp3,0.3776334
_Cs4_1_fortissimo_arco-normal.mp3,0.3937593
_C6_15_fortissimo_arco-normal.mp3,0.35029894
_D4_15_fortissimo_arco-normal.mp3,0.33788267
_E5_025_fortissimo_arco-normal.mp3,0.3339381
_A4_05_fortissimo_arco-normal.mp3,0.33036083
_B5_1_fortissimo_arco-normal.mp3,0.32739118
_D5_15_fortissimo_arco-normal.mp3,0.33621496
_As3_15_fortissimo_arco-normal.mp3,0.40489113
_E7_05_fortissimo_arco-normal.mp3,0.360982
_D6_05_fortissimo_arco-normal.mp3,0.3486486
_A3_05_fortissimo_arco-normal.mp3,0.31741032
_B5_15_fortissimo_arco-normal.mp3,0.35227424
_G7_025_fortissimo_arco-normal.mp3,0.3508232
_Fs5_15_fortissimo_arco-normal.mp3,0.3657162
_E5_05_fortissimo_arco-normal.mp3,0.37436202
