archivo,_arco_normal_pianissimo
violin_Ds6_05_pianissimo_arco-normal.mp3,0.36120534
violin_C7_05_pianissimo_arco-normal.mp3,0.370526
violin_As6_1_pianissimo_arco-normal.mp3,0.33562657
violin_As3_05_pianissimo_arco-normal.mp3,0.41114804
violin_F5_1_pianissimo_arco-normal.mp3,0.3420286
violin_F5_025_pianissimo_arco-normal.mp3,0.36534852
violin_Fs5_05_pianissimo_arco-normal.mp3,0.40894514
violin_E6_025_pianissimo_arco-normal.mp3,0.3986097
violin_C5_025_pianissimo_arco-normal.mp3,0.34522644
violin_Ds6_15_pianissimo_arco-normal.mp3,0.35828245
violin_Fs4_05_pianissimo_arco-normal.mp3,0.44966024
violin_As3_1_pianissimo_arco-normal.mp3,0.44671667
violin_D5_025_pianissimo_arco-normal.mp3,0.35213965
violin_C7_025_pianissimo_arco-normal.mp3,0.36830002
violin_E7_1_pianissimo_arco-normal.mp3,0.37113476
violin_A5_05_pianissimo_arco-normal.mp3,0.41343057
violin_Ds5_025_pianissimo_arco-normal.mp3,0.52610725
violin_As3_025_pianissimo_arco-normal.mp3,0.43527377
violin_Ds4_025_pianissimo_arco-normal.mp3,0.4682987
violin_F7_025_pianissimo_arco-normal.mp3,0.3837481
violin_F7_1_pianissimo_arco-normal.mp3,0.3498952
violin_D6_025_pianissimo_arco-normal.mp3,0.376435
violin_A3_1_pianissimo_arco-normal.mp3,0.36120084
violin_F4_1_pianissimo_arco-normal.mp3,0.343976
violin_E4_025_pianissimo_arco-normal.mp3,0.3385181
violin_B4_025_pianissimo_arco-normal.mp3,0.4013985
violin_E5_1_pianissimo_arco-normal.mp3,0.45339924
violin_G5_05_pianissimo_arco-normal.mp3,0.43370155
violin_F7_15_pianissimo_arco-normal.mp3,0.3487394
violin_G6_1_pianissimo_arco-normal.mp3,0.3693561
violin_C5_1_pianissimo_arco-normal.mp3,0.33906046
violin_A5_025_pianissimo_arco-normal.mp3,0.41212335
violin_F5_15_pianissimo_arco-normal.mp3,0.347727
violin_Cs5_1_pianissimo_arco-normal.mp3,0.39305574
violin_Gs3_025_pianissimo_arco-normal.mp3,0.44821602
violin_A5_15_pianissimo_arco-normal.mp3,0.4194114
violin_B4_15_pianissimo_arco-normal.mp3,0.4392444
violin_Gs6_phrase_pianissimo_arco-normal.mp3,0.3918952
violin_B5_1_pianissimo_arco-normal.mp3,0.4170209
violin_B6_15_pianissimo_arco-normal.mp3,0.36048517
violin_G6_025_pianissimo_arco-normal.mp3,0.40050253
violin_A6_15_pianissimo_arco-normal.mp3,0.38969114
violin_D5_05_pianissimo_arco-normal.mp3,0.3504439
violin_Fs7_025_pianissimo_arco-normal.mp3,0.38299212
violin_G6_15_pianissimo_arco-normal.mp3,0.36648935
violin_B4_05_pianissimo_arco-normal.mp3,0.40524796
violin_As5_025_pianissimo_arco-normal.mp3,0.40876082
violin_Fs4_1_pianissimo_arco-normal.mp3,0.45794827
violin_G4_05_pianissimo_arco-normal.mp3,0.35737702
violin_G5_1_pianissimo_arco-normal.mp3,0.4389718
violin_G7_1_pianissimo_arco-normal.mp3,0.38286692
violin_E5_15_pianissimo_arco-normal.mp3,0.44371054
violin_Gs6_05_pianissimo_arco-normal.mp3,0.36931542
violin_Cs5_05_pianissimo_arco-normal.mp3,0.3847118
violin_E6_05_pianissimo_arco-normal.mp3,0.41352472
violin_D7_025_pianissimo_arco-normal.mp3,0.39015177
violin_Gs5_05_pianissimo_arco-normal.mp3,0.3505639
violin_Ds7_025_pianissimo_arco-normal.mp3,0.32954228
violin_Fs6_1_pianissimo_arco-normal.mp3,0.3609718
violin_Fs5_025_pianissimo_arco-normal.mp3,0.412989
violin_Gs4_025_pianissimo_arco-normal.mp3,0.37318528
violin_Gs4_05_pianissimo_arco-normal.mp3,0.36026007
violin_C6_025_pianissimo_arco-normal.mp3,0.41723233
violin_A4_025_pianissimo_arco-normal.mp3,0.37276846
violin_Fs7_15_pianissimo_arco-normal.mp3,0.38443875
violin_B4_1_pianissimo_arco-normal.mp3,0.44301218
violin_As4_05_pianissimo_arco-normal.mp3,0.46077183
violin_D7_05_pianissimo_arco-normal.mp3,0.38212076
violin_Gs4_1_pianissimo_arco-normal.mp3,0.35791963
violin_F5_05_pianissimo_arco-normal.mp3,0.37291184
violin_B5_025_pianissimo_arco-normal.mp3,0.41699335
violin_G3_1_pianissimo_arco-normal.mp3,0.33045736
violin_Gs4_15_pianissimo_arco-normal.mp3,0.34965023
violin_F7_05_pianissimo_arco-normal.mp3,0.36740083
violin_C5_05_pianissimo_arco-normal.mp3,0.3396828
violin_Gs3_1_pianissimo_arco-normal.mp3,0.46105078
violin_A6_05_pianissimo_arco-normal.mp3,0.38016272
violin_Cs6_05_pianissimo_arco-normal.mp3,0.40194568
violin_B5_05_pianissimo_arco-normal.mp3,0.43251082
violin_Fs7_1_pianissimo_arco-normal.mp3,0.38506475
violin_As5_05_pianissimo_arco-normal.mp3,0.3688225
violin_B6_025_pianissimo_arco-normal.mp3,0.3605313
violin_A5_1_pianissimo_arco-normal.mp3,0.4230169
violin_As6_025_pianissimo_arco-normal.mp3,0.3824965
violin_Fs6_025_pianissimo_arco-normal.mp3,0.37724128
violin_Gs3_05_pianissimo_arco-normal.mp3,0.45782074
violin_G4_025_pianissimo_arco-normal.mp3,0.29246885
violin_E7_15_pianissimo_arco-normal.mp3,0.36880204
violin_Cs6_025_pianissimo_arco-normal.mp3,0.43241218
violin_A6_1_pianissimo_arco-normal.mp3,0.3895665
violin_D7_1_pianissimo_arco-normal.mp3,0.35600376
violin_Ds6_1_pianissimo_arco-normal.mp3,0.36126697
violin_C4_05_pianissimo_arco-normal.mp3,0.3114995
violin_E5_025_pianissimo_arco-normal.mp3,0.40680623
